,abstract,headline,pub_date
0,"about a fifth of the nation’s economy depends on the vacation industry. before the pandemic, the country was one of the world’s top destinations, drawing nearly 40 million visitors in 2019.",thailand reopens to tourists from 63 countries without requiring quarantine.,2021-11-01 12:26:03+00:00
1,"as some try to lure audiences back with short programs, the metropolitan opera is staging its longest work: wagner’s “die meistersinger.”",a 6-hour opera in a pandemic? the met goes for it.,2021-11-01 14:14:46+00:00
2,"while big companies wield considerable power, covid’s economic disruption has given workers new leverage, contributing to a recent upturn in strikes.",how the pandemic has added to labor unrest,2021-11-01 15:06:46+00:00
3,"the labor department has completed a draft of an emergency standard, which is under review. when it is released, a flurry of corporate vaccine mandates is expected to follow.",the biden administration will publish vaccine mandate rules ‘in the coming days.’,2021-11-01 16:29:36+00:00
4,"after months of production delays, this is the first vaccine authorization for novavax and its manufacturing partner, the serum institute of india.","the novavax vaccine, backed by operation warp speed, has won its first authorization — in indonesia.",2021-11-01 16:40:48+00:00
5,"the city can require officers to report their vaccination status and be tested, but a dec. 31 deadline to be vaccinated cannot be enforced until an arbitrator weighs in, the judge ruled.",a judge blocks chicago from enforcing its vaccine mandate for police officers.,2021-11-01 19:24:11+00:00
6,"the latest data is reassuring. myocarditis remains very uncommon, and it is almost always mild and temporary. the heart risk from covid-19 itself is far greater.",how often do covid vaccines cause heart problems in kids?,2021-11-01 21:44:28+00:00
7,a reporter in south africa shares her experience with the country’s battle with aids.,coronavirus briefing: what happened today,2021-11-01 21:49:44+00:00
8,it’s hard to imagine a worse case for defending personal choice.,"no, vaccine mandates aren’t an attack on freedom",2021-11-01 23:22:38+00:00
9,"the actress, who played the titular character in the 1992 film “buffy the vampire slayer,” said she had pneumonia.","kristy swanson, actress and vaccine skeptic, is hospitalized with covid.",2021-11-02 00:02:48+00:00
10,"in sarah hall’s novel “burntcoat,” a fictionalized pandemic spurs a sculptor to productive heights.","an artist in lockdown, forged by catastrophe",2021-11-02 09:00:08+00:00
11,"during día de muertos, or day of the dead, we remember those who have been lost.",the unequal toll of covid-19 in california,2021-11-02 12:59:45+00:00
12,about a ross douthat column suggesting that liberal states are being too stringent and should move toward normalcy. also: women and finances; aging prisoners.,how blue and red states deal with covid,2021-11-02 15:12:53+00:00
13,"the analysis by penn state and iowa researchers strongly indicates that deer are getting the virus from humans, worrying experts about a deep wild reservoir for the virus.","widespread coronavirus infection found in iowa deer, new study says",2021-11-02 16:13:52+00:00
14,"for two years in a row, the company is on track to bring in more single-year revenue from the shots than any other medical product in history.",pfizer’s covid vaccine could break sales records again next year.,2021-11-02 17:41:12+00:00
15,the reasons men are more likely than women to die of or become severely ill with covid-19 remain unclear.,an unsolved mystery: why do more men die of covid-19?,2021-11-02 19:00:09+00:00
16,"the reopening comes just ahead of the holiday season, clearing the way for tourists and other nonessential travelers after about 19 months of border closures",u.s. officials urge travelers arriving by land to have travel and vaccine documents ready.,2021-11-02 19:02:01+00:00
17,"employees must all be vaccinated, but some are upset that the upcoming show is not also testing them for the virus, as is done on broadway and at other major performing venues.","at the radio city christmas show, some workers worry about covid rules",2021-11-02 19:20:12+00:00
18,we’d love to hear about your reunion plans.,are you welcoming back family and friends now that u.s. travel restrictions are ending?,2021-11-02 20:02:48+00:00
19,"in an anthology of nine short films made during the onset of the coronavirus pandemic, people around the world fight to survive.",‘isolation’ review: dispatches from a different pandemic,2021-11-02 22:07:04+00:00
20,"the majority of active-duty troops have gotten a mandatory coronavirus vaccine ahead of deadline, with religious-based exemptions largely dismissed.",military grants few vaccine exemptions as deadlines loom,2021-11-02 22:11:52+00:00
21,shots for kids soon.,coronavirus briefing: what happened today,2021-11-02 22:14:40+00:00
22,"with the agency director’s sign-off, children ages 5 to 11 could begin to receive the shots this week.",c.d.c. recommends covid vaccine for younger children,2021-11-02 23:19:05+00:00
23,"every child 5 years and older is now eligible, but getting an appointment may take a little patience.",how to get a covid shot for your kid,2021-11-02 23:52:32+00:00
24,many parents have been anxiously waiting for the moment their 5- to 11-year-olds could be inoculated. that day has arrived.,young children are lining up for next wave of covid vaccines,2021-11-03 09:00:10+00:00
25,"all around the world, the pandemic provoked strange nocturnal visions. can they help shed light on the age-old question of why we dream at all?",did covid change how we dream?,2021-11-03 09:00:22+00:00
26,president rodrigo duterte of the philippines has warned local officials that they will be punished if they fail to meet vaccination targets as the country slowly reopens.,duterte vows to punish philippine officials for slow vaccine delivery.,2021-11-03 11:08:57+00:00
27,"two months after the pentagon began requiring all troops to get the coronavirus vaccine or face dismissal, the vast majority have now had shots, in part because none received a religious exemption, military officials said.","as deadlines loom, the u.s. military grants few vaccine exemptions.",2021-11-03 13:42:37+00:00
28,"the federal reserve, the bank of england and the reserve bank of australia are among several central banks pulling back support as inflation jumps.",central banks around the world are dialing back their pandemic-era support.,2021-11-03 13:49:17+00:00
29,"at the height of the pandemic in 2020, thousands of people shared their covid dreams on twitter, many of them under the hashtag #coronadreams. here is a small selection.",an almanac of covid dreams,2021-11-03 14:01:23+00:00
30,one veteran of the annual gathering described it as the “poorest planed” to date. a young american activist called it a “hellscape.”,organizers blame the pandemic as frustrations grow over long waits and other glitches at the climate conference.,2021-11-03 15:09:00+00:00
31,the economist claudia goldin is optimistic about the future.,"yes, the pandemic has been awful. but there are signs of hope for mothers at work.",2021-11-03 15:17:41+00:00
32,the green bay packers quarterback will miss sunday’s game against kansas city after testing positive for the virus and raised questions about his vaccination status.,aaron rodgers out after positive coronavirus test,2021-11-03 15:49:42+00:00
33,"glenn youngkin, a republican, campaigned heavily on education — and in opposition to what he called “critical race theory” — in his successful campaign for virginia governor against the democrat terry mcauliffe. but mr. youngkin also made an issue of the state’s handling of schooling during the pandemic, which may have played a part in his win.","in virginia, frustration with schooling during the pandemic played a part in youngkin’s win.",2021-11-03 15:53:01+00:00
34,the vaccine is the eighth coronavirus vaccine to receive the global health body’s green light.,"the w.h.o. grants covaxin, a covid vaccine developed in india, emergency authorization.",2021-11-03 16:36:59+00:00
35,many health advocates say a key solution is to make the shots in the regions that still don’t have them. i wanted to know whether there were companies that could do it.,who can make mrna vaccines?,2021-11-03 17:12:40+00:00
36,the federal reserve is dealing with high inflation at a time when millions of workers remain on the job market’s sidelines. wednesday’s announcement that it will slow bond purchases is a step toward more normal monetary policy.,fed takes first step toward end of pandemic measures,2021-11-03 18:00:27+00:00
37,"an 8-year-old eager to hang out with friends said, “it didn’t hurt that much, but it kind of hurt.” a sixth-grader getting vaccinated on her birthday enthused, “this is the best day ever!”","cheers, tears, comfort dogs and disney balloons: covid shots for children get underway in a texas hospital.",2021-11-03 19:08:41+00:00
38,"the restrictions start saturday and target unvaccinated people, said the country’s health minister, thanos plevris.",greece tightens restrictions on the unvaccinated as virus cases spike.,2021-11-03 19:11:37+00:00
39,"the city was awaiting the arrival of federal clinical guidelines for providers before administering shots, the mayor said, though the state said the city did not have to wait.","children 5 to 11 in n.y.c. can start getting covid shots thursday, the mayor said.",2021-11-03 20:13:31+00:00
40,"while the air force has the earliest deadline, active duty members in all branches are nearing their goals — until reserve and national guard forces are counted.",the u.s. air force hits its vaccine deadline with nearly all troops inoculated.,2021-11-03 20:30:27+00:00
41,a pandemic election.,coronavirus briefing: what happened today,2021-11-03 21:13:27+00:00
42,sufficient shipments of doses have been slow to reach many countries in the region and economic inequalities are complicating matters.,"with scant vaccine supplies, the w.h.o. presses latin america and the caribbean to hold off on boosters.",2021-11-03 22:27:32+00:00
43,"global emissions are now less than 1 percent below their previous high in 2019, suggesting that any climate impact from the pandemic was fleeting.",carbon dioxide emissions rebounded sharply after pandemic dip,2021-11-04 00:05:47+00:00
44,test your knowledge of this week’s health news.,"weekly health quiz: exercise, muscles and covid shots ",2021-11-04 08:59:01+00:00
45,"even with life slowly creeping back to normal, a split from a partner during such stressful times can feel challenging.",how to get through a pandemic breakup,2021-11-04 09:00:12+00:00
46,"the meatpacking giant, which was criticized for failing to do enough to protect its workers from covid-19 last year, has become a leader on corporate mandates.","how tyson foods got 60,500 workers to get the coronavirus vaccine quickly",2021-11-04 09:00:20+00:00
47,"after leading the resistance to the government’s new health pass, the northeastern port city of trieste is home to a worrying spike in cases.",center of italy’s anti-vaccine protests is now a covid hot spot,2021-11-04 09:00:20+00:00
48,the state is eager for its vacation industry to rebound after a devastating 2020 season.,hawaii is easing restrictions and preparing to welcome back tourists.,2021-11-04 09:09:08+00:00
49,"the decision comes as the country experiences rising caseloads again. the nine-hour test is seen as critical in determining students’ futures, and many have prepared for it since kindergarten.",south korea will hospitalize all covid patients taking the college entrance exam.,2021-11-04 09:09:09+00:00
50,the meatpacking giant took the lead on corporate vaccination rules despite uncertainty on how employees would react.,behind tyson’s risky bet on a vaccine mandate,2021-11-04 11:49:15+00:00
51,"the new guidance will cover 84 million workers, who will be required to be fully vaccinated or undergo weekly testing.",we want to hear your questions about the new federal vaccine mandate.,2021-11-04 12:55:13+00:00
52,"more than 680,000 people have traveled across the country as health experts cautioned that large-scale gatherings might fuel a wave of infections.","diwali festivities draw hundreds of thousands in india, despite covid concerns.",2021-11-04 13:33:46+00:00
53,"the authorization of merck’s easy-to-use covid treatment, molnupiravir, is a step toward taming the pandemic.",britain becomes first to authorize an antiviral pill for covid-19,2021-11-04 15:38:47+00:00
54,we’re answering your questions about the new osha rules for employers with 100 or more workers. this f.a.q. was last updated on nov. 8 at 11:50 a.m.,frequently asked questions about the biden administration’s vaccine mandate,2021-11-04 16:25:21+00:00
55,"research has increasingly shown that warming is taking a deadly toll on human health. at the global climate summit in glasgow, the issue has gained new prominence.",effort to reframe climate change as a health crisis gains steam,2021-11-04 16:27:59+00:00
56,"the world health organization said europe was responsible for nearly three-fifths of the world’s recent coronavirus cases, and that deaths in the region were surging.","‘europe is back at the epicenter of the pandemic,’ a w.h.o. official says.",2021-11-04 16:46:17+00:00
57,"across the country, parents and their young children lined up to receive covid-19 vaccines after the centers for disease control and prevention recommended the pfizer-biontech shot for children aged 5 through 11.",young children receive first dose of covid-19 vaccine,2021-11-04 20:39:26+00:00
58,what the vaccine deadline means for you.,coronavirus briefing: what happened today,2021-11-04 21:35:33+00:00
59,"the department argued that a major voting law passed by republicans would disenfranchise several groups of vulnerable texans, including voters who do not speak english and those with disabilities.",justice dept. sues texas over voting restrictions,2021-11-04 21:43:54+00:00
60,here’s what you need to know at the end of the day.,"vaccine mandates, south africa, benedict cumberbatch: your thursday evening briefing",2021-11-04 21:46:00+00:00
61,the biden administration has released details of its plan to prevent the spread of the coronavirus at work. here are answers to some of the questions readers submitted.,5 questions about the biden vaccine mandate,2021-11-04 21:55:49+00:00
62,"the unions represent about 88,000 of the 160,000 employees covered by the city’s latest mandate, which requires all city employees to get vaccinated or face unpaid leave.",n.y.c. reaches an agreement with nine labor unions on covid vaccine mandates.,2021-11-04 22:11:44+00:00
63,emergent biosolutions ruined millions of doses of covid-19 vaccines. now its $600 million deal is canceled.,federal government cuts ties with troubled vaccine maker,2021-11-05 02:08:35+00:00
64,the easing of rules comes as cases decline significantly. the country has virtually closed its borders since the start of the pandemic.,japan will shorten quarantine for business travelers to 3 days.,2021-11-05 10:04:15+00:00
65,"pfizer’s is the second pill to show effectiveness against covid-19, and it is the first purpose-built to attack the virus that causes the disease.",pfizer says its antiviral pill is highly effective in treating covid,2021-11-05 10:45:06+00:00
66,new details have clarified the forthcoming requirements — and prompted questions and concerns.,breaking down the biden vaccine mandate,2021-11-05 11:31:33+00:00
67,"consumers are likely to see more plan options and lower premiums for next year. “this is a whole new ballgame,” one health expert said.",it’s sign-up time for federal health insurance,2021-11-05 13:00:08+00:00
68,"residents in ruili, in southwestern china, have been locked down four times in the past year as part of the country’s quest to eliminate the virus.","near-daily covid tests, sleeping in classrooms: life in covid-zero china",2021-11-05 14:32:56+00:00
69,"when a google staffing agency reneged on a promise to pay an attendance bonus, temps who are part of the company’s union organized and forced it to backtrack.",google temps fought loss of pandemic bonus. and won.,2021-11-05 14:38:19+00:00
70,the times is hosting a live chat with a pediatric infectious disease specialist and two reporters about the coronavirus vaccine and children. we’d like to hear your questions.,what do you want to know about kids and vaccines?,2021-11-05 15:49:42+00:00
71,families reunited.,coronavirus briefing: what happened today,2021-11-05 21:06:23+00:00
72,"in an interview given by the quarterback as he isolated because of a positive coronavirus test, he said that he was a victim of a “woke mob” and that he had unsuccessfully petitioned the n.f.l. to accept his alternative to being vaccinated.",aaron rodgers lashes out about n.f.l.’s vaccine requirements,2021-11-05 21:06:55+00:00
73,"despite signals that the economy is improving and the virus is waning, many americans said they were frustrated by polarized politics and a sense of stagnancy.",trapped in a pandemic funk: millions of americans can’t shake a gloomy outlook,2021-11-05 22:58:55+00:00
74,"staff at the hospital in the western state of maharashtra tried to douse the fire with fire extinguishers, but the flames spread quickly in the airtight room.",a fire in covid intensive care ward kills 11 people in india.,2021-11-06 14:01:24+00:00
75,the central american nation’s health ministry said on friday it was adding covid-19 to the list of required vaccinations for people 18 and younger.,costa rica moves to require covid shots for children.,2021-11-06 14:01:24+00:00
76,"austrians will need proof of vaccination or a past infection to be seated at a restaurant, enter a bar, visit a hairdresser or join any gathering of more than 25 people.","facing a spike in infections, austria sharpens the rules of its covid pass.",2021-11-06 14:01:24+00:00
77,rejoicing (mostly) ensues.,big kid vaccines are here!,2021-11-06 15:00:06+00:00
78,a stay granted by a federal appeals court in louisiana could signal an uphill battle for the administration in getting the entire american work force vaccinated.,a court temporarily blocks biden’s vaccine mandate.,2021-11-06 19:54:38+00:00
79,"“if we all come together and play our part, we can get through this challenging winter, avoid a return to restrictions and enjoy christmas,” said sajid javid, the health secretary.",britain’s health secretary urges people to get booster shots amid a surge.,2021-11-07 16:06:16+00:00
80,the debate isn’t just about creationism and stem cells anymore.,how covid raised the stakes of the war between faith and science,2021-11-07 16:15:06+00:00
81,"the adult hyenas, who tested positive for the coronavirus, have so far exhibited mild symptoms of covid, but they are believed to be “in good shape and improving,” a zoo spokesman said.",two spotted hyenas at the denver zoo are the first known to have covid-19.,2021-11-07 16:28:25+00:00
82,the administration last week set jan. 4 as the deadline for companies with 100 or more employees to mandate covid vaccinations or implement weekly testing of workers.,"the biden administration is ‘prepared to defend’ the vaccine rules for big employers, the surgeon general says.",2021-11-07 18:49:13+00:00
83,heidi ferrer’s family feared her organs were unsafe. the case points to gaps in protocols for organ donation amid the pandemic.,she died with long covid. should her organs have been donated?,2021-11-08 00:20:35+00:00
84,"an anti-vaccine clarion call by leading religious figures, echoed by prominent politicians and social media, helps explain why romania now has the world’s highest covid death rate.","in romania, hard-hit by covid, doctors fight vaccine refusal",2021-11-08 10:00:16+00:00
85,the lifting of rules comes as the country records some of its highest daily case numbers since the pandemic began.,new zealand’s biggest city will ease lockdown restrictions.,2021-11-08 10:02:17+00:00
86,"as a new wave of the coronavirus pandemic crashed over eastern europe last month, devastating unvaccinated populations, an orthodox church bishop in southern romania offered solace to his flock: “don’t be fooled by what you see on tv — don’t be scared of covid.”","in hard-hit romania, the virus is surging as vaccine hesitancy spreads.",2021-11-08 10:32:50+00:00
87,the partisan gap in covid’s death toll has grown faster over the past month than at any previous point.,u.s. covid deaths get even redder,2021-11-08 11:28:16+00:00
88,"the belfast-born singer-songwriter has embraced conspiracy theories and criticized restrictions to slow the spread of the coronavirus. last year, he released a single called “no more lockdown.”",northern ireland’s health minister is suing van morrison over covid-19 criticism.,2021-11-08 15:23:30+00:00
89,when will the u.s. economy improve?,how to think about the covid recession,2021-11-08 20:12:41+00:00
90,a peek inside china.,coronavirus briefing: what happened today,2021-11-08 21:52:42+00:00
91,"the green bay packers quarterback, one of the most visible athletes in the country, last week used anti-vaccination rhetoric as his reasoning for not getting vaccinated against covid-19.",scientists fight a new source of vaccine misinformation: aaron rodgers,2021-11-08 22:56:43+00:00
92,"the plans, while short on specifics, represent a notable step toward cutting greenhouse gas emissions from hospitals and the health care industry, a sizable emitter globally.",more than 40 nations pledge to cut emissions from their health industries,2021-11-08 23:03:28+00:00
93,the first lady and the surgeon general visited an elementary school in virginia as part of a strategy to enlist schools in promoting the vaccine.,jill biden kicks off covid vaccine campaign for young children,2021-11-08 23:58:47+00:00
94,the biden justice department filed its case before an appeals court that has temporarily halted the measure.,u.s. urges court not to block vaccine mandate on employers,2021-11-09 00:45:30+00:00
95,"set in minneapolis mostly during 2020, “the sentence,” by the pulitzer prize-winning novelist, is a ghost story about america’s current traumas that also evokes those of our collective past.",a new novel by louise erdrich haunted by covid and george floyd’s death,2021-11-09 10:00:05+00:00
96,"when candles burn, they release various vapors and particles into the air, but research suggests that using them is safe.",are scented candles harmful to your health?,2021-11-09 10:00:12+00:00
97,"the success represents a major victory for narendra modi’s government, but a recent slowdown in new vaccinations has sparked worries.",india eased its covid-19 disaster. fears of complacency remain.,2021-11-09 10:00:20+00:00
98,"as much as any city, portland, ore., has been through hell. its landmark store, powell’s books, must finally build a viable online business while recapturing its downtown success.",powell’s books survived amazon. can it reinvent itself after the pandemic?,2021-11-09 10:00:27+00:00
99,"the change, which takes effect on dec. 8, comes as the number of severe cases has stabilized but remains high, the health ministry said.",singapore will stop covering covid costs for those who decline to be vaccinated.,2021-11-09 10:03:02+00:00
100,"about 3,000 people marched through wellington, new zealand’s capital, on tuesday to protest vaccination requirements and coronavirus restrictions, forcing a lockdown of parliament and closure of local streets.",protest outside new zealand’s parliament assails sweeping new covid mandates.,2021-11-09 10:27:04+00:00
101,"zhang zhan, who was imprisoned after exposing the failures of the government’s initial response to the coronavirus outbreak in wuhan, is near death, friends and family say.",the u.s. urges beijing to release a chinese citizen journalist who highlighted covid.,2021-11-09 11:07:39+00:00
102,"when news broke that aaron rodgers, the green bay packers quarterback, had tested positive for the coronavirus last week and was unvaccinated, mr. rodgers justified his decision to not get inoculated by speaking out against the highly effective vaccines and spewing a stream of misinformation and junk science.",scientists confront a new source of vaccine misinformation: aaron rodgers.,2021-11-09 11:59:51+00:00
103,a weeklong effort to vaccine children ages 5-11 began at new york city schools this week.,on the scene: vaccine clinics open at schools,2021-11-09 15:05:08+00:00
104, ,frontline health workers in england must be vaccinated by april.,2021-11-09 15:51:19+00:00
105,"moderna’s patent application names several employees as the sole inventors of a crucial component of its coronavirus vaccine, excluding three government scientists.",moderna and u.s. at odds over vaccine patent rights,2021-11-09 19:32:00+00:00
106,public citizen’s nov. 2 letter to n.i.h. about moderna’s vaccine patent application,read public citizen’s letter on the moderna vaccine patent dispute,2021-11-09 19:48:25+00:00
107,"though the country has a high vaccination rate, new coronavirus cases and hospital admissions have been increasing in recent weeks.",macron announces a new vaccine rule for people 65 or older in france.,2021-11-09 19:48:55+00:00
108,the case against vaccine mandates.,coronavirus briefing: what happened today,2021-11-09 22:42:22+00:00
109,the actor and author matthew mcconaughey is contemplating a run for governor of texas.,"matthew mcconaughey on covid, masks and vaccines for children.",2021-11-09 23:33:40+00:00
110,the matchup is the first game of the season at college football’s top level to be rescheduled because of the virus.,saturday’s cal-u.s.c. game has been delayed by covid.,2021-11-10 01:39:42+00:00
111,"rodgers, the green bay packers quarterback who is not vaccinated and has voiced unfounded claims about covid-19 vaccines, was penalized for not wearing a mask in some places.","n.f.l. fines aaron rodgers, packers for covid-19 protocol violations",2021-11-10 02:30:35+00:00
112,"for small businesses hovering just under the federal vaccination guidelines, navigating this period is tricky.",the vaccine mandate kicks in at 100 employees. what if you’re at 98?,2021-11-10 08:00:08+00:00
113,the restrictions in shenyang are a stark example of how seriously officials are taking the country’s “zero covid” approach to the pandemic.,"a chinese city tells overseas visitors to quarantine for 28 days, then do another 28.",2021-11-10 10:49:48+00:00
114,secretary of state antony j. blinken stressed the need to extend vaccine access to people living in areas unreachable by government-run programs.,blinken says the u.s. has a deal to send johnson & johnson vaccine doses to conflict zones.,2021-11-10 15:33:33+00:00
115,"the secretary of state called for rich countries, pharmaceutical companies and others to “step up.”",antony blinken says ‘we have fallen short’ on global vaccine distribution.,2021-11-10 17:28:24+00:00
116,"“our goal clearly is to vaccinate as many kids as possible,” a white house official said. “the program is just getting up to full strength.”",the white house estimates almost a million children ages 5 to 11 have gotten covid vaccine shots so far.,2021-11-10 18:47:46+00:00
117,germany’s virus whiplash.,coronavirus briefing: what happened today,2021-11-10 22:22:24+00:00
118,the suit claims that the rule “threatens with job loss millions of health care workers who risked their lives.”,ten states sue the u.s. over the vaccine mandate for health care workers.,2021-11-10 23:02:28+00:00
